county_name,Population,"Pop %, Male","Pop %, Female","Pop %, Age <18","Pop %, Age 18-24","Pop %, Age 25-34","Pop %, Age 35-44","Pop %, Age 45-54","Pop %, Age 55-64","Pop %, Age 65+","Pop %, White","Pop %, Black","Pop %, N. American & Alaskan","Pop %, Asian","Pop %, Hawaiian & P. Islander","Pop %, Other","Pop %, 2+ Races","Pop %, 9-12th Grade","Pop %, High School","Pop %, Some College No Degree","Pop %, Assoc Degree","Pop %, Bach Degree","Pop %, Graduate Degree",Median Household Income,"Pop %, Priv Health Ins","Pop %, No Priv Health Ins","Pop %, Publ Health Ins","Pop %, No Publ Health Ins",FIPS
GREENE,20053.0,53.5,46.5,22.4,7.8,14.4,13.8,10.7,11.2,19.7,,,,,,,,12.6,24.5,13.0,6.8,5.8,1.8,39806.0,48.0,39.3,38.1,49.2,37079
CALDWELL,82178.0,47.8,52.2,19.9,7.9,11.6,9.9,15.7,15.3,19.8,88.5,5.6,0.0,0.1,0.0,3.4,2.3,10.7,21.0,15.3,8.5,9.2,2.9,48737.0,57.9,41.0,41.1,57.8,37027
CATAWBA,159551.0,49.6,50.4,21.9,8.4,12.3,11.3,13.8,13.9,18.4,79.0,8.9,0.4,4.5,0.0,5.0,2.2,6.2,20.1,15.0,8.9,11.6,4.7,52436.0,59.6,39.2,34.1,64.7,37035
CLEVELAND,97947.0,47.7,52.3,21.9,10.5,10.6,12.0,12.2,13.9,19.0,74.8,20.8,0.6,1.1,0.0,1.8,1.0,6.1,24.0,12.7,8.0,8.2,4.5,44987.0,54.6,45.1,45.2,54.5,37045
CRAVEN,102139.0,49.2,50.8,21.3,12.2,13.4,10.2,10.8,12.4,19.7,71.6,21.8,0.7,2.3,0.0,1.0,2.6,4.4,18.1,16.9,10.4,9.0,5.6,52832.0,64.7,28.0,34.7,58.0,37049
EDGECOMBE,51472.0,46.6,53.4,22.5,7.9,9.8,12.2,12.0,15.5,20.2,,,,,,,,6.1,23.1,19.9,4.1,9.2,2.5,41670.0,53.5,45.5,48.2,50.8,37065
GRANVILLE,60443.0,50.7,49.3,20.5,9.1,11.5,11.3,15.3,14.7,17.5,60.1,28.7,0.6,1.3,0.3,5.0,4.1,8.5,21.2,14.3,8.9,9.9,3.5,51899.0,59.9,35.0,33.6,61.2,37077
HARNETT,135976.0,49.1,50.9,25.7,9.7,14.9,12.6,13.2,11.3,12.6,66.9,22.2,0.6,1.8,0.8,4.3,3.5,5.0,19.6,14.3,7.9,10.8,4.8,55753.0,59.1,36.6,35.1,60.7,37085
HOKE,55234.0,50.4,49.6,26.9,9.1,16.3,13.7,12.1,11.5,10.5,44.4,34.5,7.7,2.0,0.0,6.0,5.4,4.1,19.0,17.2,9.8,7.1,3.5,45968.0,55.6,38.4,39.0,54.9,37093
HENDERSON,117417.0,48.2,51.8,18.8,5.7,10.5,11.5,13.0,14.2,26.3,91.2,3.6,0.2,0.9,0.0,2.2,1.8,5.1,18.3,19.1,8.2,14.2,8.4,62131.0,64.3,34.6,41.1,57.8,37089
IREDELL,181806.0,49.9,50.1,22.6,8.1,11.8,12.6,14.9,14.3,15.7,79.2,11.5,0.2,2.8,0.0,2.7,3.7,4.9,19.4,14.4,7.4,14.7,6.7,68660.0,69.8,29.5,32.9,66.4,37097
MECKLENBURG,1110356.0,48.0,52.0,23.2,9.0,17.2,14.7,13.3,11.1,11.5,52.2,31.7,0.3,5.7,0.0,6.8,3.2,3.2,11.0,13.5,5.8,20.2,10.8,69072.0,70.0,29.5,25.0,74.5,37119
NORTHAMPTON,19483.0,45.8,54.2,23.4,7.4,11.0,11.8,12.4,16.5,17.6,,,,,,,,7.1,21.3,14.0,7.8,12.3,4.8,42159.0,58.7,37.2,34.5,61.3,37131
PITT,180742.0,46.0,54.0,21.3,16.7,14.2,11.5,11.6,11.0,13.7,55.4,34.0,0.2,1.6,0.1,4.8,3.7,5.0,15.9,11.0,7.9,12.0,7.9,53401.0,70.6,28.5,31.2,67.9,37147
ROWAN,142088.0,49.0,51.0,22.0,8.9,12.2,11.9,13.5,13.9,17.7,76.5,16.2,0.3,0.8,0.0,2.6,3.5,5.8,21.1,17.0,8.9,7.9,4.7,51927.0,57.7,40.7,40.6,57.8,37159
VANCE,44535.0,47.1,52.9,23.5,11.3,9.4,9.9,13.0,14.1,18.8,40.7,50.4,0.7,0.0,0.0,6.2,2.1,5.8,23.6,13.5,4.6,9.5,4.5,38101.0,56.8,42.3,45.4,53.7,37181
CHEROKEE,26751.0,52.0,48.0,13.3,9.3,8.3,10.3,15.2,14.1,29.5,,,,,,,,6.8,25.5,19.1,8.0,10.5,4.8,42581.0,46.3,52.4,50.6,48.1,37039
CURRITUCK,27763.0,48.7,51.3,22.0,6.9,12.1,14.5,13.3,13.6,17.7,87.6,5.2,0.0,2.8,0.0,0.1,4.3,2.4,25.2,13.9,8.8,15.7,4.0,83187.0,71.3,27.6,30.1,68.8,37053
UNION,239859.0,49.0,51.0,26.4,9.4,9.5,14.1,15.5,12.3,12.8,79.3,11.7,0.4,3.3,0.1,2.7,2.4,3.6,15.1,13.7,5.5,16.3,7.8,85985.0,75.8,23.6,26.2,73.3,37179
WILKES,68412.0,49.6,50.4,19.1,8.8,9.7,12.2,13.3,14.4,22.6,91.7,3.7,0.1,0.0,0.6,1.7,2.2,8.3,25.4,15.1,7.0,9.3,2.8,43290.0,62.5,36.0,39.1,59.4,37193
NASH,94298.0,48.9,51.1,21.8,9.1,11.9,11.3,12.1,14.9,18.9,49.7,41.1,0.3,0.2,0.0,5.8,2.9,6.7,25.8,13.9,7.4,9.6,2.7,50656.0,59.8,38.9,46.2,52.5,37127
ALEXANDER,37497.0,49.3,50.7,18.0,8.6,13.9,13.3,11.1,15.3,19.9,87.3,5.6,0.0,1.4,0.0,4.0,1.8,7.2,29.6,14.6,9.4,7.4,2.2,58777.0,65.1,31.7,39.1,57.7,37003
DARE,37009.0,48.9,51.1,17.5,7.6,10.2,11.8,13.6,17.2,22.1,,,,,,,,1.3,16.0,16.1,11.2,17.8,11.8,59929.0,79.1,20.4,30.8,68.6,37055
WARREN,19731.0,54.0,46.0,16.6,9.1,10.2,11.9,7.9,15.2,29.1,34.2,50.9,5.1,1.4,0.2,4.9,3.3,11.2,33.3,11.2,5.4,8.5,2.8,36097.0,44.2,51.3,60.8,34.8,37185
WILSON,81801.0,46.4,53.6,22.8,8.9,9.9,13.8,12.8,13.4,18.4,49.5,40.3,0.2,0.8,0.0,7.3,2.0,7.7,22.0,14.0,6.7,8.6,4.4,38830.0,56.8,42.2,41.8,57.1,37195
MADISON,21755.0,52.5,47.5,18.1,7.7,11.3,13.0,10.3,12.6,27.0,,,,,,,,6.9,26.7,14.3,6.2,12.4,5.8,56442.0,59.6,39.3,43.4,55.6,37115
POLK,20724.0,45.3,54.7,13.9,6.6,6.5,8.4,13.3,15.8,35.5,,,,,,,,4.5,18.3,16.1,13.9,15.5,8.8,53140.0,70.4,28.4,46.7,52.1,37149
RANDOLPH,143667.0,49.8,50.2,22.1,8.2,12.3,11.4,13.3,14.0,18.7,85.6,5.7,0.4,1.0,0.0,4.5,2.8,8.4,24.1,14.9,7.4,7.0,3.4,49742.0,51.6,47.3,41.7,57.3,37151
STOKES,45591.0,48.5,51.5,17.8,6.9,10.9,10.8,15.1,17.8,20.7,,,,,,,,8.8,23.8,16.6,9.6,8.8,4.5,48943.0,69.7,29.2,39.4,59.6,37169
CUMBERLAND,335509.0,49.4,50.6,24.8,13.1,17.0,12.0,10.4,10.7,12.1,49.1,36.9,1.5,2.8,0.4,3.2,6.1,3.9,16.8,17.6,6.8,9.8,5.6,46292.0,56.6,33.6,37.5,52.7,37051
GUILFORD,537174.0,47.3,52.7,22.1,11.0,13.8,12.1,12.9,12.6,15.4,53.7,34.3,0.6,5.0,0.0,3.0,3.5,5.0,15.1,12.9,6.4,16.0,8.8,55328.0,64.4,34.8,34.8,64.4,37081
HAYWOOD,62317.0,47.9,52.1,16.8,5.8,12.8,10.1,12.3,16.2,26.1,95.4,1.0,0.4,1.1,0.0,0.4,1.7,4.9,19.5,18.8,8.5,13.8,9.3,52421.0,69.3,30.1,39.9,59.5,37087
