County,FIPS,Year,Contest,Method,Winning Party,Margin Count,Margin Percent,Votes Cast,Votes % of Pop,Population,"Pop %, Male","Pop %, Female","Pop %, Age <18","Pop %, Age 18-24","Pop %, Age 25-34","Pop %, Age 35-44","Pop %, Age 45-54","Pop %, Age 55-64","Pop %, Age 65+","Pop %, White","Pop %, Black","Pop %, N. American & Alaskan","Pop %, Asian","Pop %, Hawaiian & P. Islander","Pop %, Other","Pop %, 2+ Races","Pop %, 9-12th Grade","Pop %, High School","Pop %, Some College No Degree","Pop %, Assoc Degree","Pop %, Bach Degree","Pop %, Graduate Degree",Median Household Income,"Pop %, Priv Health Ins","Pop %, No Priv Health Ins","Pop %, Publ Health Ins","Pop %, No Publ Health Ins"
ALEXANDER,37003,2014,US Senate,Total,REP,-4837.0,-44.0,11013.0,29.5,37392.0,52.2,47.8,21.0,10.9,9.9,10.9,14.8,13.6,18.9,,,,,,,,6.3,27.8,14.2,3.3,9.5,1.9,38600.0,53.0,44.1,45.8,51.3
ALLEGHANY,,2014,US Senate,Total,REP,-1140.0,-29.6,3852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSON,37007,2014,US Senate,Total,DEM,1775.0,27.2,6523.0,25.3,25765.0,52.4,47.6,19.7,8.8,13.5,15.3,11.5,11.8,19.4,50.0,46.3,0.7,1.6,0.0,0.0,1.4,10.3,33.5,11.0,8.5,5.0,1.7,30124.0,49.7,43.6,41.6,51.8
ASHE,37009,2014,US Senate,Total,REP,-2433.0,-27.4,8883.0,32.7,27126.0,50.0,50.0,18.8,6.0,8.7,13.7,14.1,15.3,23.3,94.4,1.2,0.1,0.0,0.0,3.2,1.2,9.2,24.2,16.6,7.4,7.7,4.8,39212.0,60.5,38.6,43.4,55.7
AVERY,,2014,US Senate,Total,REP,-2585.0,-53.2,4851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAUFORT,37013,2014,US Senate,Total,REP,-2666.0,-15.8,16808.0,35.3,47585.0,48.5,51.5,19.5,10.7,9.3,10.7,12.9,15.4,21.6,,,,,,,,6.9,23.4,15.7,8.4,7.8,3.6,41318.0,64.3,34.9,42.3,56.9
BERTIE,37015,2014,US Senate,Total,DEM,1832.0,29.2,6268.0,31.2,20106.0,51.5,48.5,19.2,10.4,10.5,11.4,16.8,14.0,17.8,,,,,,,,7.6,30.8,13.5,5.6,5.5,2.9,28529.0,57.2,35.8,36.7,56.3
BLADEN,37017,2014,US Senate,Total,DEM,598.0,5.6,10680.0,30.8,34657.0,46.2,53.8,23.7,5.4,11.4,7.3,17.8,15.8,18.6,54.6,38.3,3.0,0.0,0.0,2.8,1.3,6.9,21.0,18.1,7.5,7.9,3.9,30238.0,52.2,46.9,50.1,49.0
BRUNSWICK,37019,2014,US Senate,Total,REP,-7143.0,-18.4,38621.0,32.5,118836.0,50.0,50.0,17.3,6.3,10.0,10.0,12.2,17.4,26.9,82.9,11.0,0.8,0.6,0.1,2.7,1.9,6.6,21.0,17.7,7.9,13.2,7.2,46721.0,61.7,37.6,45.6,53.6
BUNCOMBE,37021,2014,US Senate,Total,DEM,15583.0,18.8,83327.0,33.3,250539.0,48.4,51.6,19.3,8.5,13.6,13.1,13.5,14.0,18.0,88.2,7.2,0.4,1.5,0.0,0.6,2.3,3.9,17.0,15.7,6.4,16.4,10.4,47671.0,68.8,29.7,30.5,67.9
BURKE,37023,2014,US Senate,Total,REP,-5366.0,-23.2,23040.0,25.7,89486.0,49.5,50.5,19.9,9.4,12.3,11.6,14.5,14.1,18.3,82.6,7.7,0.5,3.6,0.0,4.9,0.8,9.5,20.2,15.2,7.7,8.4,4.1,37086.0,55.0,42.6,43.1,54.4
CABARRUS,37025,2014,US Senate,Total,REP,-9296.0,-18.8,49436.0,25.7,192103.0,48.9,51.1,26.3,8.0,12.9,14.5,14.3,11.5,12.4,72.9,17.2,0.4,2.6,0.0,5.8,1.1,4.6,17.5,16.1,7.1,13.2,5.3,54347.0,72.5,26.7,27.2,72.1
CALDWELL,37027,2014,US Senate,Total,REP,-7051.0,-36.0,19567.0,24.0,81484.0,47.8,52.2,21.1,8.5,10.0,13.1,15.2,14.0,18.1,89.6,5.2,0.3,0.6,0.2,2.9,1.2,9.5,20.9,16.5,6.6,8.3,4.0,37876.0,54.6,44.3,41.0,58.0
CAMDEN,,2014,US Senate,Total,REP,-816.0,-26.2,3104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARTERET,37031,2014,US Senate,Total,REP,-9007.0,-37.6,24007.0,34.9,68811.0,48.7,51.3,18.6,6.9,10.7,11.0,14.6,16.0,22.2,89.7,5.8,0.2,0.8,0.0,0.3,3.2,5.9,18.9,18.7,8.9,10.5,8.9,48881.0,63.4,34.7,38.7,59.4
CASWELL,37033,2014,US Senate,Total,REP,-44.0,-0.6,6926.0,30.7,22553.0,48.4,51.6,21.6,9.5,7.4,12.6,13.3,19.4,16.2,,,,,,,,9.1,26.9,13.8,5.6,7.0,3.4,47028.0,56.1,40.1,38.5,57.6
CATAWBA,37035,2014,US Senate,Total,REP,-13150.0,-31.6,41740.0,27.0,154534.0,48.9,51.1,23.0,8.4,11.2,13.7,14.4,13.4,16.1,79.4,8.6,0.2,4.0,0.0,6.0,1.7,8.7,21.8,14.4,6.8,9.4,3.7,44677.0,65.1,33.8,33.2,65.8
CHATHAM,37037,2014,US Senate,Total,DEM,3073.0,11.4,26915.0,39.2,68698.0,50.1,49.9,21.0,6.3,8.3,13.5,13.0,14.5,23.4,75.0,12.5,0.3,1.0,0.0,6.8,4.4,7.5,15.8,13.4,4.8,13.9,13.2,54229.0,66.2,32.7,37.8,61.1
CHEROKEE,37039,2014,US Senate,Total,REP,-3661.0,-40.2,9087.0,35.1,25882.0,51.3,48.7,19.5,7.3,3.2,14.8,12.0,17.4,25.7,93.8,2.4,2.7,0.0,0.0,0.0,1.0,7.7,24.9,14.4,7.0,10.7,5.5,36474.0,48.5,50.5,48.6,50.4
CHOWAN,,2014,US Senate,Total,REP,-557.0,-11.0,5085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
